experiment_id,embedding_model,embedding_type,embedding_dimension,chunk_size,chunk_overlap,chunk_count,id,question,ground_truth_type,question_type,expected_document_1,expected_document_2,retrieved_rank_1_doc_id,retrieved_rank_2_doc_id,retrieved_rank_3_doc_id,retrieved_rank_1_score,retrieved_rank_2_score,retrieved_rank_3_score,hit_at_1,hit_at_3,any_hit_at_1,any_hit_at_3,all_hit_at_3,reciprocal_rank,retrieval_latency_ms
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_pods,0.8657751083374023,0.8912473917007446,0.8935942649841309,0,0,0,0,0,0.14285714285714285,136.94
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.8747434616088867,0.8949687480926514,0.9546540975570679,0,0,0,0,0,0.125,122.461
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_vpc_reachability_analyzer,aws_ec2_autoscaling_health_checks,0.8569586277008057,0.9402744770050049,0.9977583885192871,0,1,0,1,1,0.5,138.772
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_liveness_readiness_startup_probes,k8s_horizontal_pod_autoscaling,0.8425766229629517,0.8745039701461792,0.8866538405418396,1,1,1,1,0,1.0,128.618
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,0.791711688041687,0.7978783845901489,0.8193585872650146,0,1,0,1,0,0.5,282.48
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,0.9206612706184387,0.9276055693626404,0.9316332340240479,1,1,1,1,0,1.0,130.006
openai_text_embedding_3_small,text-embedding-3-small,api,1536,1024,128,483,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,1.0156034231185913,1.0367015600204468,1.0405699014663696,0,0,0,0,0,0.0,131.569
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_002,A Pod is Running but the application is not responding on its expected port. What diagnostic path should I start with?,single,single-troubleshooting,k8s_debug_running_pod,,k8s_troubleshooting_applications,k8s_debug_pods,k8s_liveness_readiness_startup_probes,0.7538830041885376,0.8313370943069458,0.8355040550231934,0,0,0,0,0,0.1111111111111111,4.319
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_007,An application should receive environment specific non-secret settings without rebuilding its image. Which Kubernetes object is relevant?,single,single-conceptual,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,0.6530935764312744,0.6662178039550781,0.6677617430686951,0,0,0,0,0,0.0,3.902
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_019,I need to check whether a network path inside a VPC can reach a destination before changing security groups. Which AWS tool document applies?,single,single-conceptual,aws_vpc_reachability_analyzer,,aws_eks_auto_mode_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,0.8341807126998901,0.8939254283905029,0.9828768968582153,0,1,0,1,1,0.5,4.233
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_021,A Service shows no ready backends after a rollout and the Pods report readiness probe failures. Which two documents should be used together?,multi,multi-document,k8s_liveness_readiness_startup_probes,k8s_debug_services,k8s_liveness_readiness_startup_probes,k8s_debug_pods,k8s_debug_running_pod,0.8836572766304016,0.9399902820587158,0.956611156463623,1,1,1,1,0,1.0,4.028
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_023,An ALB target is unhealthy and the Auto Scaling group is replacing instances. Which documents together explain the load balancer and replacement sides?,multi,multi-document,aws_alb_troubleshooting,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_health_checks,aws_ec2_autoscaling_unhealthy_instances,0.8054308891296387,0.8299441337585449,0.8621598482131958,1,1,1,1,0,1.0,11.357
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_024,An RDS connection issue may be caused by network reachability rather than database state. Which documents should be paired?,multi,multi-document,aws_rds_troubleshooting,aws_vpc_reachability_analyzer,aws_rds_troubleshooting,aws_rds_troubleshooting,aws_rds_troubleshooting,1.0161638259887695,1.0566092729568481,1.0831042528152466,1,1,1,1,0,1.0,3.891
local_all_minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,local,384,1024,128,483,eval_027,Should application feature flags be stored in a Secret just because they affect runtime behavior?,single,discrimination,k8s_configmaps,,k8s_secrets,k8s_secrets,k8s_secrets,1.1878328323364258,1.274254322052002,1.2832657098770142,0,0,0,0,0,0.125,4.062
