id,question,scope,top_1_distance,threshold,threshold_decision,threshold_classification,top_1_doc_id,distance_margin,absolute_margin
eval_041,A newly created Pod never leaves Pending and the scheduler appears unable to place it on a node. Which document should be retrieved?,in_scope,0.8369563817977905,1.042478,accept,TA,k8s_debug_pods,-0.2055216182022095,0.2055216182022095
eval_042,A container accepts traffic too early and fails user requests during startup. Which Kubernetes probe guidance is most relevant?,in_scope,0.5679912567138672,1.042478,accept,TA,k8s_liveness_readiness_startup_probes,-0.47448674328613283,0.47448674328613283
eval_043,An operator needs to compare sensitive credentials with ordinary runtime configuration in Kubernetes. Which documents are both relevant?,in_scope,0.8407787084579468,1.042478,accept,TA,k8s_secrets,-0.20169929154205324,0.20169929154205324
eval_044,An EKS administrator can authenticate but receives permission failures when using cluster APIs. Which AWS document should be retrieved?,in_scope,0.7177435159683228,1.042478,accept,TA,aws_eks_iam_troubleshooting,-0.32473448403167726,0.32473448403167726
eval_045,A load balanced application has failing targets and the Auto Scaling group may react to load balancer health. Which documents should be retrieved together?,in_scope,0.7024387121200562,1.042478,accept,TA,aws_ec2_autoscaling_unhealthy_instances,-0.34003928787994386,0.34003928787994386
eval_046,A database endpoint refuses connections and the team needs to rule out VPC path problems. Which two AWS documents are relevant?,in_scope,0.8953067064285278,1.042478,accept,TA,aws_rds_troubleshooting,-0.14717129357147218,0.14717129357147218
eval_047,A team needs CloudWatch metrics and access logs for an Application Load Balancer before debugging backend code. Which document should be retrieved?,in_scope,0.6925051212310791,1.042478,accept,TA,aws_alb_monitoring,-0.3499728787689209,0.3499728787689209
eval_048,A Kubernetes cluster has symptoms across logs metrics and events and the operator wants a high level observability source. Which document applies?,in_scope,0.5963195562362671,1.042478,accept,TA,k8s_observability,-0.4461584437637329,0.4461584437637329
eval_049,How do I configure GitHub Actions to deploy a static React site to Pages?,out_of_scope,1.365971565246582,1.042478,reject,TR,k8s_debug_running_pod,0.323493565246582,0.323493565246582
eval_050,What is the best laptop to buy for running local LLMs this year?,out_of_scope,1.5497709512710571,1.042478,reject,TR,aws_alb_troubleshooting,0.5072929512710571,0.5072929512710571
